#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:MAFFT-SerralysinFilogenia" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:MAFFT-SerralysinFilogenia" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:MAFFT-SerralysinFilogenia" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:MAFFT-SerralysinFilogenia" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.MAFFT-SerralysinFilogenia" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:MAFFT-SerralysinFilogenia" name="distribution" x="@BDBirthRate.t:MAFFT-SerralysinFilogenia">
#            <Uniform id="Uniform.3" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:MAFFT-SerralysinFilogenia" name="distribution" x="@BDDeathRate.t:MAFFT-SerralysinFilogenia">
#            <Uniform id="Uniform.4" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:MAFFT-SerralysinFilogenia" name="distribution">
#            <parameter id="gammaShape.s:MAFFT-SerralysinFilogenia" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="PropInvariantPrior.s:MAFFT-SerralysinFilogenia" name="distribution">
#            <parameter id="proportionInvariant.s:MAFFT-SerralysinFilogenia" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#            <Uniform id="Uniform.2" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@MAFFT-SerralysinFilogenia" id="treeLikelihood.MAFFT-SerralysinFilogenia" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:MAFFT-SerralysinFilogenia">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:MAFFT-SerralysinFilogenia" proportionInvariant="@proportionInvariant.s:MAFFT-SerralysinFilogenia" shape="@gammaShape.s:MAFFT-SerralysinFilogenia" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:MAFFT-SerralysinFilogenia" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <substModel id="WAG.s:MAFFT-SerralysinFilogenia" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:MAFFT-SerralysinFilogenia" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:MAFFT-SerralysinFilogenia" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	proportionInvariant	gammaShape	BirthDeath	BDBirthRate	BDDeathRate
0	-21172.629433079997	-21168.20681523021	-4.422617849786805	-21168.20681523021	0.8093606086184337	0.0	1.0	3.4851374291953316	1.0	0.5
1000	-13093.825237870658	-13074.197031504895	-19.62820636576405	-13074.197031504895	2.6394504496749898	0.0	1.0	-11.720451086781914	1.2874451803398506	0.5485861982381436
2000	-12910.695162944705	-12897.6504799929	-13.044682951804788	-12897.6504799929	2.197085655812189	0.0	1.0	-5.13692767282265	1.516099694494657	0.5117279433546443
3000	-12901.79957801994	-12890.099809983978	-11.699768035962212	-12890.099809983978	1.7145238379724521	0.0	1.0	-3.7920127569800752	2.058977182317809	0.4121692263416476
4000	-12907.166245726106	-12892.037891249089	-15.128354477017162	-12892.037891249089	2.1706204801688864	0.0	1.0	-7.220599198035025	2.6587105840016654	0.10693534019287702
5000	-12904.064437310695	-12889.880086177034	-14.184351133661604	-12889.880086177034	2.1222348406786775	0.0	1.0	-6.276595854679468	1.9653123454366084	0.12704268945113364
6000	-12911.268335065393	-12896.9253414041	-14.342993661293002	-12896.9253414041	2.0780091824405162	0.0	0.9757759249010234	-6.459462457409841	1.6360994909895954	0.30398925635460716
7000	-12898.080372383669	-12888.032395784312	-10.047976599356694	-12888.032395784312	1.7730053469046263	0.0	0.9757759249010234	-2.164445395473534	1.2040796583776698	0.7238360916233904
8000	-12896.139721498244	-12884.48352959623	-11.65619190201431	-12884.48352959623	1.6580280402174978	0.0	1.3590072833911444	-3.3894293396410275	1.113701837742757	0.5122100312740021
9000	-12898.623505355252	-12887.11666043511	-11.506844920141756	-12887.11666043511	1.6580650117573605	0.0	1.3590072833911444	-3.240082357768473	0.36941319135054346	0.884549116383413
10000	-12900.535284073489	-12889.944950086287	-10.590333987202573	-12889.944950086287	1.6122491441605955	0.0	1.3590072833911444	-2.323571424829293	0.6243493473300086	0.8207290945677103
11000	-12896.833831996926	-12885.619240743454	-11.214591253471825	-12885.619240743454	1.8684696945728685	0.0	1.3398902093644252	-2.9669457651252644	0.7601792345344434	0.7910743817428055
12000	-12896.830750972293	-12886.067391673607	-10.763359298686566	-12886.067391673607	1.6162082359794643	0.0	1.3398902093644252	-2.515713810340005	1.2789952711689154	0.5184243148314716
13000	-12903.432321756842	-12891.455989704342	-11.976332052500398	-12891.455989704342	1.6893651695158682	0.0	1.3398902093644252	-3.7286865641538367	0.8497040988820042	0.7959781256243267
14000	-12899.635304318128	-12887.08731096292	-12.547993355208336	-12887.08731096292	1.69466107033974	0.0	1.3398902093644252	-4.300347866861775	2.3239984675501177	0.20983981199473184
15000	-12900.41609296658	-12886.86364954477	-13.552443421809283	-12886.86364954477	1.8304576553933838	0.0	1.2448938998508168	-5.399794242976329	1.9018244080631341	0.3183663311588573
16000	-12904.728440144652	-12889.597209162761	-15.131230981891212	-12889.597209162761	2.021976789763413	0.0	1.2448938998508168	-6.978581803058258	1.3010030627467888	0.7757851822547984
17000	-12897.266126717528	-12884.794641301754	-12.471485415774156	-12884.794641301754	1.9069765063506599	0.0	1.2448938998508168	-4.318836236941202	0.6945002667085045	0.8700472124913368
18000	-12899.474616697784	-12887.635334894074	-11.839281803710334	-12887.635334894074	1.69348761929562	0.0	1.2448938998508168	-3.6866326248773795	1.1396984823884055	0.7225523367005262
